domain,site,solute,n_ann,slope_ann_mean,p_ann_mean,rsquared_ann_mean,slope_ann_low,p_ann_low,rsquared_ann_low,slope_ann_high,p_ann_high,rsquared_ann_high,slope_sp_mean,p_sp_mean,rsquared_sp_mean,slope_sp_low,p_sp_low,rsquared_sp_low,slope_sp_high,p_sp_high,rsquared_sp_high,slope_w_mean,p_w_mean,rsquared_w_mean,slope_w_low,p_w_low,rsquared_w_low,slope_w_high,p_w_high,rsquared_w_high,slope_su_mean,p_su_mean,rsquared_su_mean,slope_su_low,p_su_low,rsquared_su_low,slope_su_high,p_su_high,rsquared_su_high,slope_f_mean,p_f_mean,rsquared_f_mean,slope_f_low,p_f_low,rsquared_f_low,slope_f_high,p_f_high,rsquared_f_high
bear,EB,DOC,30,-0.002867677990031726,0.546396824666268,0.013139978319166667,2.393667465274587e-4,0.9502471086434109,1.415418104564967e-4,-8.125036501008302e-4,0.9414882194047027,1.9585698442880443e-4,-3.0018288350813604e-5,0.07040309631792678,0.11616603006192802,-5.779825362191684e-6,0.6696353196283897,0.006844194267472203,-5.3689436526836834e-5,0.07495842604886745,0.11273810190727247,-1.601145806018069e-5,0.35582416103854686,0.03165359001334012,-4.2603520191572e-6,0.6997491488932968,0.005595801477890775,-7.223924037571494e-5,0.02884477005843312,0.1648764673156716,-2.3252969740493978e-5,0.19120750535886008,0.062413024255288566,3.197770890694781e-6,0.8031120099265727,0.00234253449034614,-3.9221137141190686e-5,0.2575286960442591,0.04721388904336039,4.805103227267607e-6,0.8259700991882118,0.0019708674730718324,-9.201855606326063e-7,0.9528207510568354,1.4283709120351166e-4,1.1879361619951132e-5,0.8064879433248215,0.002445670939773313
bear,WB,DOC,31,0.003714817985954825,0.4143685472253674,0.023101140470089918,0.01084409028471532,0.030693198531154264,0.1510854190830275,0.0012056902550854243,0.9193484455453231,3.5961564003509397e-4,-2.065934930801375e-5,0.174872989733535,0.06472572671160852,-2.4672060479644803e-7,0.9831175855856231,1.6279679290719582e-5,-4.841434924052785e-5,0.1850876405332125,0.06185284509914671,1.4647456419492203e-5,0.33320274959956964,0.03347093039102423,3.673116722676326e-5,0.015404896779210605,0.19211412179343862,-3.231218303122742e-5,0.2623413154658438,0.044647691388877614,9.574589883516872e-6,0.5739526296900349,0.011427150992068393,1.1269578720219433e-5,0.3416291855216479,0.03234229253045479,8.179029902733947e-6,0.8020708689563711,0.0022818946876448976,6.558267544474998e-6,0.766952472292815,0.003308299148125937,9.90227322284358e-6,0.5066583089375354,0.01649907132093387,-3.7089943615199886e-6,0.9295253545114412,2.950733878023815e-4
boulder,BC_SW_4,DOC,10,-0.12232320172487644,0.014665407392931772,0.5457152368612644,-0.06944538311688296,0.014219249664433109,0.5489689634786636,-0.17147824375625143,0.1333175042080458,0.2586688129898995,-4.2381965901468145e-4,0.037144088746140426,0.48498956099582113,-3.7767816715272113e-4,0.05268012812484309,0.4366160742216923,-3.1206519157736843e-4,0.29313436677278043,0.15578637252421065,-3.059258477321866e-4,0.015301458231457196,0.5922802766834416,-3.2217704229324864e-4,0.02439943739181456,0.5385464800935965,-2.6099565472220243e-4,0.07803657435877918,0.378072606345066,-2.6677216263362404e-4,0.005862832915236175,0.7436877527347429,-1.3318371833623288e-4,0.14247905733914398,0.32185105906891065,-2.812992638571502e-4,0.12935714813935045,0.339825373031129,-2.957303521376893e-4,0.06772833571095477,0.4520906805855961,-3.1907841794378904e-4,0.03998307399050247,0.5321804079750925,-2.4452586120520773e-4,0.12665643504012533,0.3437123423996968
boulder,GGL,DOC,10,-0.513244197760412,0.022591938217974103,0.4980070481888484,-0.442956734154748,0.05273453839127231,0.3921660866038806,-0.43168205627705925,0.06249719107464871,0.36901258502702133,-9.537746070070949e-4,0.00822121026540827,0.7144641192875772,-0.001217267189791736,0.0389280564337415,0.5359687694418309,-4.976875972410909e-4,0.02899911572331557,0.575965833593757,-1.83487288175027e-4,0.2960890198095554,0.2138707779492707,-2.1227278630715115e-4,0.09482402725094521,0.4583022252439502,-2.3420193775124614e-4,0.3909738648850748,0.1498313126964987,-8.884513572123917e-4,0.026688014126776537,0.6585585145552898,-5.514454831115762e-4,0.03595709728639514,0.618450107723485,-0.0010224147009062566,0.06379971021092758,0.5294586623683539,-0.0015381113927777632,0.10086304151140349,0.44649414036585416,-0.0011907702725214727,0.09136439058302666,0.4653172402015561,-0.0016776277991505965,0.12440997658526814,0.4049417129284951
hbef,HBK,DOC,11,-0.0780254294380668,0.05516137400981346,0.35012206912077054,-0.04890315094474496,0.008729102547614736,0.5527358950764121,-0.04892962312244188,0.5273091919949886,0.045833847808718506,2.193983620933391e-4,0.0287837974354167,0.5180821971977704,1.1950261914522872e-4,0.274252240978553,0.16735932880670798,3.30203186109516e-4,0.06559283068404141,0.40448618862765895,8.016293106589296e-5,0.3971655144472328,0.09092315422681627,8.104106275663378e-5,0.2248130647788593,0.17783056178354525,1.6034984991089603e-4,0.5206232395776407,0.05340480868437713,-7.490500475027953e-5,0.652064329059988,0.03613634407009241,-3.992953095862301e-5,0.32358799064081106,0.16156194554899075,1.2293788165991241e-4,0.8263270361514439,0.008679390002702656,-3.14551136560373e-4,0.004888788460473748,0.7005850045203719,-1.0834625298756663e-4,0.05321316197764478,0.4351704992291889,-3.794945462586372e-4,0.005455871103523895,0.6914692797330685
hbef,w1,DOC,20,0.028840221494495083,1.199778537042822e-6,0.7388180329472918,0.022395428319919863,2.8149736681228955e-4,0.5286024603233849,0.03400913125505204,2.0041795991885893e-4,0.545399391818674,7.223983224060983e-5,4.574036239743774e-4,0.5035990825002689,4.7842724056161206e-5,0.012090479302092312,0.30191002680109796,6.661961097580677e-5,0.063432772846109,0.1785637545858256,6.94525885780084e-5,8.318537543208333e-5,0.5863077093513421,9.462308798794544e-5,5.860601662587948e-4,0.4903674331137375,7.291603925244264e-5,0.0027449661404293185,0.40053906709386966,1.06372110033987e-4,6.277034570042295e-6,0.7535714753242514,8.602979490889116e-5,3.046438417050903e-7,0.8344094518631486,1.5447229821611525e-4,0.012716799929290892,0.3477767842826862,7.621144578682676e-5,0.0011790666014246862,0.4920232103986305,5.0310569414058986e-5,0.003934167775393425,0.41453009390898504,1.1346301650129583e-4,0.054796524003175154,0.21154343040026283
hbef,w2,DOC,13,0.013632302144867995,0.020666461332366475,0.3985317268272601,0.011120991956192502,0.08769012107315571,0.24204014448062333,0.01931090747813604,0.08381758025241647,0.2472742818475773,2.8253280067504563e-5,0.07446380592320027,0.26090195451472714,2.3414075362446657e-5,0.2274545761357113,0.12933860310978035,3.500484744828398e-5,0.027578712222622787,0.3693155104244834,4.264083729501138e-5,0.02531128369059547,0.3520300023499459,4.5866336339679406e-5,0.010870569604371608,0.43014052867476993,3.789830567624873e-5,0.06483507871619994,0.25610517434912655,2.9038322692724367e-5,0.10486438203874598,0.29476390876322983,1.7419640434775457e-5,0.21355814015868688,0.1858414979066989,6.0985489009641726e-5,0.2496468964265443,0.16150389276799845,4.983479417852885e-5,0.0963277802274118,0.27694026502503843,2.6219183113025442e-5,0.12294405883490019,0.24351509361564086,1.2107749249915994e-4,0.2831651710535419,0.12644921342353416
hbef,w3,DOC,13,0.017540291607970732,0.06621096121363645,0.2742995977600556,0.011863944241298975,0.14762841978437552,0.1806904305075161,0.001014639531926276,0.9731458642158047,1.077962678475649e-4,5.1837543133708214e-5,0.05464743873402661,0.2958863340791185,3.4791640557524625e-5,0.16145748648550773,0.17003274690123957,7.244177352546881e-5,0.04993532408756449,0.3058885040559092,6.955547407399314e-5,0.003749154358298074,0.5171163865258444,5.880575857517265e-5,0.016193037208619313,0.3943110605810692,6.912668365512841e-5,0.008167957150303311,0.45473339230554044,5.065353859568531e-5,0.05720116456394267,0.38116186530345814,1.4731705362150018e-5,0.46617757321915543,0.06818409327044919,1.1133670675859015e-4,0.19245927433633303,0.20205453692125955,3.7264317638865515e-5,0.29092167666640356,0.11057862978150389,3.327784089301519e-6,0.8352335283683018,0.004537174886005216,-6.785394929243561e-5,0.687058482467769,0.01691355090381114
hbef,w4,DOC,13,0.009507403628242869,0.1587154322665088,0.17207219871384338,0.005369762917470982,0.49203331620814283,0.04390793625560055,0.012998634001812056,0.2769441948650523,0.10631068132877586,3.4433786731290195e-5,0.10545309535122507,0.22049812806105956,1.550401505967814e-5,0.4648949312660593,0.04952900630155481,8.342598584401952e-5,0.1183312371214202,0.20692528852700257,3.2538468380831345e-5,0.15163534407525256,0.16345549904076226,3.645849305673053e-5,0.11433027600491504,0.19461740402191102,1.8323341159248754e-5,0.4576706079602366,0.04678096941393616,2.0971796338411293e-5,0.2936089752181617,0.13638256720512312,3.3368826205905105e-6,0.860005545074924,0.0041296287008635935,5.756878145829908e-5,0.4468906846252648,0.0740498304856087,3.3081974030196e-6,0.7445463247295753,0.01239112035309344,-2.7837362984679946e-5,0.18324112039507232,0.18763252315199663,-3.272418804791591e-5,0.5350555623735161,0.04417537902329747
hbef,w5,DOC,13,-0.007129964363350083,0.21225536746937604,0.13751273336261746,-0.006239291281927206,0.34694295243275064,0.0806840556265071,-0.02508022461128156,0.09633027946548779,0.23109695659346124,-3.172209738594087e-5,0.13365490853782808,0.19250578751531083,-3.404285252575852e-5,0.10325624552879117,0.2229691810915348,-4.991427566036159e-5,0.15054814804101863,0.17836043417314756,-6.995599779399083e-6,0.7328212542456543,0.010072674283911828,2.082778682516746e-6,0.9148853607225382,9.918759320155226e-4,-6.658562037100736e-5,0.06805558263740709,0.25093691889029385,3.2748823831588753e-6,0.8706794840601263,0.0031076944980589194,-9.311366316623547e-6,0.6103118010414357,0.030038142013226164,4.219738437211676e-5,0.4186258132791151,0.07392546272634189,-4.373013143563007e-5,0.021304962890364005,0.46248342271669285,-5.324026115310643e-5,0.11826215059176927,0.24888106735336227,-6.872089585710183e-5,0.20907839684112364,0.16901076008469593
