domain,site,solute,n_ann,slope_ann_mean,p_ann_mean,rsquared_ann_mean,slope_ann_low,p_ann_low,rsquared_ann_low,slope_ann_high,p_ann_high,rsquared_ann_high,slope_sp_mean,p_sp_mean,rsquared_sp_mean,slope_sp_low,p_sp_low,rsquared_sp_low,slope_sp_high,p_sp_high,rsquared_sp_high,slope_w_mean,p_w_mean,rsquared_w_mean,slope_w_low,p_w_low,rsquared_w_low,slope_w_high,p_w_high,rsquared_w_high,slope_su_mean,p_su_mean,rsquared_su_mean,slope_su_low,p_su_low,rsquared_su_low,slope_su_high,p_su_high,rsquared_su_high,slope_f_mean,p_f_mean,rsquared_f_mean,slope_f_low,p_f_low,rsquared_f_low,slope_f_high,p_f_high,rsquared_f_high
baltimore,BARN,pH,18,0.02008899269004195,0.023937313000124083,0.2800108312535392,0.027135118433339163,0.06868845841493136,0.192311609187259,0.01438155437613626,0.09120584679043922,0.16796093064354728,4.3873096632042705e-5,0.17175623916941543,0.11342147143333985,5.3240409960823134e-5,0.4181846551408991,0.04137744817876195,3.593175981785505e-5,0.16507802668440924,0.1168162622138463,5.153981313941957e-5,0.16115042626023707,0.11210668250199102,9.634744919727725e-5,0.09991691187305218,0.1511814965604552,1.586381327034762e-5,0.6561496603292308,0.011936536622769289,3.943888674182226e-5,0.16513774437533585,0.11678527186497051,6.168213801978276e-5,0.09252647055749828,0.16672179345813648,4.793605851487083e-5,0.4993859708680918,0.028988838861931664,6.764163608692059e-5,0.01689466342144124,0.324924855250098,5.185365964317246e-5,0.16767055299200165,0.12292169478437356,7.727559394885011e-5,0.010762053717611384,0.36092056120267524
baltimore,DRKR,pH,16,5.969752407694724e-4,0.8984517392230094,0.0012048305513736293,-9.51625233426634e-4,0.8320168805528629,0.0033249641663599034,-0.018751699862637423,0.05001028202642549,0.24729710053299025,-1.6119583453502366e-5,0.47746795924581464,0.036662038913742194,-4.0264363225876384e-05,0.5511175533590305,0.02595697914158666,-6.0052783062707186e-5,0.028448480072741176,0.2988099487834373,2.1467626661597888e-5,0.26227336804054124,0.08295370010540053,4.122070171895698e-5,0.09060525819337568,0.17902310840936153,1.6705369895487087e-5,0.5929898210692373,0.019498015806088197,-1.48156981599154e-5,0.41458220019771785,0.05180768883075411,-1.5728425237087492e-5,0.468855968673519,0.04106731723510674,-5.272301760367983e-6,0.7685776983939757,0.006896412283745566,1.7094942622441165e-5,0.4182684502991515,0.051015833986366374,-6.6269642244433405e-6,0.8156434130856396,0.004335833077403465,4.839894216447447e-5,0.04061559755226433,0.2844617223418087
baltimore,GFCP,pH,18,0.016773379787779343,0.011124865912915897,0.3397566109155084,0.012720797090766565,0.1076307884318597,0.15367312669234387,0.018858008166155023,0.06717239374567027,0.1942191896308652,7.514587112851896e-5,0.010651243740195106,0.34303357136542095,1.463850824346771e-4,0.0246927336250995,0.2775102250753662,8.689267862085567e-5,0.049782208384978745,0.21965159510618618,5.1683544164665666e-5,0.020071468240591438,0.27905825261430456,6.05662483042792e-5,0.08910405681407216,0.16056278422149606,3.814583321407726e-5,0.21826939223905215,0.08771067528559844,2.0368169493067533e-5,0.4695515069875611,0.03316109799851021,1.29164229894191e-5,0.7319556773629408,0.007536634730378389,3.6034886657571245e-5,0.10180120833109127,0.15848083937360752,3.685877033428004e-5,0.10948721506352369,0.16177500278573437,2.7608145089925375e-5,0.30620627865694255,0.06960590979139739,4.888049793002507e-5,0.06826330662060992,0.2046521803405574
baltimore,GFGB,pH,18,0.003375383556985715,0.5703284985434799,0.020556617642933154,0.013970411936705118,0.17381528909090976,0.11240269610196195,-0.014142906285322226,0.06415299253395758,0.1981449345013165,1.0539463515254627e-6,0.9662566787320807,1.1539109716095289e-4,1.411898288991831e-5,0.8016723052078962,0.004060102320665964,9.648269385452647e-6,0.9000458859751206,0.001016771868495002,2.3959776175106e-5,0.2288282789574985,0.08396973012651372,5.6636502142622253e-05,0.1585632530934413,0.11342148310865711,3.1655083721792067e-6,0.8466805928602971,0.0022622251360791593,8.301889583550077e-6,0.6892842719459022,0.010255049361916567,4.333359030378306e-5,0.18989389929143558,0.10486140762331228,-2.3571044690595122e-5,0.5889784254677577,0.01864820625459598,2.1801256529913624e-5,0.30396088978782765,0.07023177137217601,2.5515222789855943e-5,0.4503420125264973,0.03850721686691587,1.3821644269751808e-5,0.5310323959008088,0.026682568151560157
baltimore,GFGL,pH,18,0.011061929123615383,0.032511258950512566,0.25512544006817106,0.01885559077432216,0.030904448129706885,0.25928252811831215,0.003074339317373577,0.6619451149250172,0.01225104064092578,1.0297472581102558e-5,0.606608480320409,0.016951044700450273,-6.65610791285009e-6,0.8986440593892658,0.0010456323375211875,-1.0576414301926157e-5,0.7321086009595084,0.007527727735016249,2.7360560648784033e-5,0.2191394431409039,0.08739490621293855,4.0463362186811455e-5,0.29214023642498677,0.0650051838022951,2.3366455124388422e-5,0.29935607919978935,0.06315344769427937,3.788746591688755e-5,0.022909256190964948,0.29977089825026104,2.899782035789072e-5,0.40231234543827044,0.04718767560976508,6.107302061585065e-5,0.0015803485153745587,0.4967648997547941,8.343399344100073e-5,4.1240365121939307e-4,0.5758871887599505,8.929442984645359e-5,0.014206939114548003,0.3389345352770875,7.728719205760786e-5,0.008978661460758104,0.37494935255635403
baltimore,GFuGR,pH,10,0.00730429866139487,0.4921717411029165,0.060815698533270936,-0.006109740259740464,0.6997433530610684,0.019591699916212624,0.004604088504088087,0.7371112004522089,0.014878239138718798,-1.490106030951928e-5,0.694333411155085,0.020334100733466885,-2.5230989489408845e-4,0.14632164321527735,0.24444976103167373,7.810706760821733e-5,0.3011656669104848,0.1324765603581437,9.832012520726728e-5,0.04285476037617108,0.41957677675998667,7.382336490952343e-5,0.26652218510115516,0.15134157159746026,1.0433624906717919e-4,0.21397849671600727,0.18553479386905855,-2.275073802545812e-5,0.6595765850687062,0.02548103629926585,-4.101696464473409e-5,0.5499430533959113,0.04642653905030648,3.3601861565121654e-5,0.5408781955932096,0.048515793967594395,7.93739051026811e-5,0.16333670020318786,0.22751291336845864,9.795714659579942e-5,0.22169397164495183,0.18000967148633912,-7.192370385523323e-5,0.6755944391519911,0.0230268176304717
baltimore,GFVN,pH,18,0.00607169380905244,0.25249533281958125,0.08095236862237966,0.012178647599390796,0.11169395882027905,0.15047300371078792,-0.010527260553343664,0.20725803159155687,0.09744891558681179,1.3383944036028006e-6,0.9531087707334184,2.2294504207279832e-4,3.15711618611316e-6,0.9579927518951503,1.7888493692691559e-4,-3.887370920885361e-5,0.1736415768539838,0.11248815301671504,1.772367337140639e-5,0.40540044512359497,0.04106390520535028,3.32944996115504e-5,0.3580150074767783,0.0498853596672005,5.050304022156714e-6,0.8026549486107879,0.0037763124638174853,3.8308428155756925e-6,0.8317942859139202,0.002904829791051194,9.884738555850616e-6,0.6773083279450095,0.011104121343918825,-2.546089124386697e-6,0.8856203270857936,0.0013334005575856482,4.53011217340209e-5,0.011078582282375281,0.35865283363123707,9.833778269387006e-5,0.09589708448890898,0.17385769116273408,3.8965241389300344e-5,0.17149708665088836,0.12087511425522054
baltimore,GRGF,pH,16,0.01517518944852954,0.11048102950823964,0.1717604014789951,0.009812613403570314,0.4749305573894258,0.03707832334956489,0.016113606338057723,0.005632399040363161,0.43241017447695496,7.367701171681637e-5,0.005439506428408218,0.46013107313761425,4.991191907509218e-5,0.4776254148706397,0.03950345570101547,2.119565170431984e-5,0.5658391948694557,0.02600803319016941,1.2210931094725044e-4,1.1051369545457883e-4,0.6958585745471025,1.3601534685828847e-4,1.4179609786300467e-5,0.7766694314066311,9.30549622491899e-5,0.22036810747148464,0.11309223191613671,6.0736412783845465e-5,0.05227506452385281,0.2597857042337072,2.0796401583861283e-4,0.0716911338251163,0.22823894586654003,3.2173550639182395e-5,0.20577336938740592,0.1200735915725442,2.7119258360462794e-5,0.36974885983147365,0.0622723049516731,-3.526634241983861e-7,0.9939094358519218,4.657858179603816e-6,5.0900300305646484e-5,0.039820702787253914,0.2863725285036978
baltimore,MAWI,pH,10,0.016007747664289806,0.2764199874785086,0.1456929367509698,-0.006265873015873386,0.8429955880365159,0.005205308755255915,0.01881574425574378,0.08487879128010217,0.32573689374075077,2.8970870714816537e-5,0.5150057855084874,0.05481646891214144,8.694414577222651e-5,0.266378743082821,0.1514250670134152,1.9563777095913228e-5,0.7820728492149724,0.010127783716951945,1.0986635312822395e-4,0.06494635955937193,0.3636856082329037,2.057426573171239e-5,0.88911651443434,0.002582738115438222,1.5638174113020783e-4,0.0196073557343728,0.5141079767370726,-6.702693480646026e-6,0.926730813693609,0.0011244059892801482,-8.565081224719281e-6,0.9439553315843523,6.572692945997339e-4,1.888311459840272e-5,0.7094450880412786,0.018298891810118297,8.228417788838309e-5,0.21355836336556422,0.1858413348893841,8.756074405228148e-5,0.3153770332593946,0.1254179601961445,8.939679259852595e-5,0.11736700334231503,0.27794104894959226
baltimore,MCDN,pH,17,0.006322218593283457,0.6009632175573147,0.018676408296983495,0.009252677224735826,0.5147805494770306,0.028821377933701493,0.002131458625115671,0.8663472300932178,0.0019503689941731044,-2.758796751844044e-6,0.9535946325187147,2.3338343216244912e-4,-4.230138515420675e-5,0.6975156041086115,0.010358068069635287,1.1507555100730498e-5,0.7856112121198207,0.0050867918712841345,6.990229406477758e-5,0.1062375405070774,0.1547982065419342,6.690012832633877e-5,0.20533192574770953,0.09823737623852843,8.990288129869021e-5,0.0413551126169385,0.23520377436407955,-2.1827202983765724e-5,0.541135786074493,0.02726236490797957,-3.7855491722077026e-5,0.2899286873729307,0.07953990175371287,-4.048885170146465e-6,0.9141737360402586,8.594528290315125e-4,3.7667391559825474e-5,0.18832991816671305,0.120196866342097,2.3138697307418154e-5,0.476758733175239,0.03677804895509355,3.8137858590310343e-6,0.904391356128353,0.0010674237954344345
