domain,site,solute,n_ann,slope_ann_mean,p_ann_mean,rsquared_ann_mean,slope_ann_low,p_ann_low,rsquared_ann_low,slope_ann_high,p_ann_high,rsquared_ann_high,slope_sp_mean,p_sp_mean,rsquared_sp_mean,slope_sp_low,p_sp_low,rsquared_sp_low,slope_sp_high,p_sp_high,rsquared_sp_high,slope_w_mean,p_w_mean,rsquared_w_mean,slope_w_low,p_w_low,rsquared_w_low,slope_w_high,p_w_high,rsquared_w_high,slope_su_mean,p_su_mean,rsquared_su_mean,slope_su_low,p_su_low,rsquared_su_low,slope_su_high,p_su_high,rsquared_su_high,slope_f_mean,p_f_mean,rsquared_f_mean,slope_f_low,p_f_low,rsquared_f_low,slope_f_high,p_f_high,rsquared_f_high
baltimore,BARN,SO4_S,21,-0.0021875871174463937,0.7829516497048963,0.004092031026362128,0.005500443253691247,0.32064129536559494,0.051894271627428,-0.015339518436297373,0.07532151952290628,0.15705092261004236,1.3978272621857977e-6,0.9587268120866232,1.4470446229085664e-4,8.265021224385162e-6,0.7117084196964429,0.00735253794707403,4.340213889340112e-5,0.6799072297243607,0.009155919584452643,2.037644430764565e-6,0.9294145062905036,4.0218072836195406e-4,4.959394798560598e-6,0.8266508729317057,0.002455674591575586,-2.520436754345684e-5,0.40612488672795455,0.034757860493758036,-2.4679241520445206e-5,0.434217447688817,0.03432376533723848,-2.036810750514082e-6,0.9092065078975794,7.425630553662271e-4,-1.7495554034447388e-4,0.057932954971644475,0.18557972529669428,-9.09659376132016e-6,0.7202494445266581,0.0077391446632712755,1.4202227632305485e-5,0.43191968596591535,0.03672180273476819,-4.3734255132240914e-5,0.319615798087569,0.05823060057820256
baltimore,DRKR,SO4_S,19,-0.07386719215428303,0.008688631370385058,0.34077466806867623,-0.045616196111534925,0.3479270361738872,0.0519637223726921,-0.022901847894467777,0.788293518530784,0.0043585378499928435,-1.742883529773731e-4,0.20016743815500893,0.09461348580731499,-3.3079765121781657e-4,0.18846745876772975,0.09944676950560599,-1.992980044360978e-4,0.35490049688366077,0.050518881621670564,-1.9026256048795988e-4,0.2856878085663293,0.0630231172205711,-3.0195565746694153e-4,0.21439937863911374,0.08426624968905827,-1.4510142524809971e-5,0.9668132979933256,9.886944671457555e-5,-1.6311392954037885e-4,0.1788768036233963,0.10995152912997674,-2.505701870947209e-4,0.1614513178372575,0.11872062164211979,2.5630143099642443e-4,0.5890364480197967,0.018642453030387703,-3.2664811626843067e-4,0.019798999541103136,0.2951591118730296,-3.102618653792496e-4,0.1817634240788724,0.10858626490990593,-3.9862526103447734e-4,0.004255157473299548,0.4091460784846241
baltimore,GFCP,SO4_S,21,-0.05320886368748005,0.012786814157743501,0.2844282831005715,-0.03206774650679802,0.32181970578028585,0.051648797332059265,-0.04635820255813124,0.17740090020447472,0.09360586828357756,-9.012943994291256e-5,0.16541642613606203,0.09871863040478347,-1.6121173132897456e-4,0.13202168322502694,0.11533562987853632,-1.9911569867867287e-4,0.04094465423895486,0.20200869451444006,-1.0482822895278337e-4,0.17270119697827166,0.09089985433672806,-2.015746537260284e-4,0.0550165524759306,0.1719331255595298,-4.8887981000756426e-5,0.7216920542700869,0.0064831925994157215,-2.742650328849206e-4,0.0034207950818757825,0.38666736116375255,-2.945300684815362e-4,0.01669996467479799,0.278848914629361,-1.7912728070851541e-4,0.040594118173900635,0.21286813034814261,-1.8645784539594916e-4,0.03163457033813358,0.2317378547972591,-2.0844926616552987e-4,0.10196482576457196,0.14162412477454492,-1.614298959377225e-4,0.045903105201558325,0.20348319959519154
baltimore,GFGB,SO4_S,21,-0.009407511595502571,0.29438011645856543,0.05767192408642881,0.011748956430034041,0.18899416271051753,0.08900107264792018,-0.018286146927259567,0.528349726585954,0.021252027886703273,-1.689090852440732e-5,0.5916046600276348,0.01543266477149117,-2.6100582119246016e-5,0.4882242219873312,0.02562458438988941,-4.9355483101269605e-5,0.6416168650294316,0.011637116645602774,3.6540629708524866e-5,0.40329579150811656,0.035171452008565834,-1.9133829584525272e-5,0.575823913036147,0.01591917361380736,1.6827917816653282e-4,0.18103364056166762,0.08762264486453525,-9.696596096839276e-5,0.003256335442630474,0.38979601937764213,-3.528749542574609e-5,0.1650409725595066,0.10422378872537505,-3.4038594517203137e-4,0.014125830460508759,0.2908682324722298,-3.412722956884395e-5,0.30338230287918805,0.058702679140089656,-2.1580630772404276e-5,0.31008705609620835,0.057144614934144695,-9.011027944174816e-5,0.12943973950709817,0.1230357357124478
baltimore,GFGL,SO4_S,21,-0.08938057604824882,0.0013888119243376381,0.4239621390881583,-0.11345012646922584,0.01318903611344924,0.2823097263003304,-0.05622430623771581,0.056300405805672325,0.17861893573821347,-1.0526085284157505e-4,0.28754800112645473,0.059278402392865553,-2.4330949215536175e-4,0.18278949760717503,0.09142637440278734,-9.545443800436975e-5,0.27964702828264915,0.061194190337413815,-2.840485006582563e-4,0.0017719388000022541,0.39372952636014774,-5.571775180261556e-4,3.3897390591262693e-4,0.481811981412799,-3.471261703727758e-5,0.7605942366216935,0.004748230452088919,-3.821232235262794e-4,0.001543470359093043,0.4355516413074596,-5.631630256433535e-4,7.148394238542558e-4,0.47953176494163113,-1.4947713058581215e-4,0.24504485436047269,0.0742708194420435,-3.5060022566100736e-4,0.012403229754847409,0.3001062487733395,-4.02115283539695e-4,0.027254622455677065,0.2428939160451485,-2.1016661092522484e-4,0.26918919601063995,0.06734905252151055
baltimore,GFuGR,SO4_S,10,-0.1180049865333701,5.758056768283738e-4,0.7906667431568775,-0.1585713795375937,0.00615679704968016,0.6295254366758178,-0.1084692795313116,0.31784231417513165,0.12422998062937916,-4.7000839491758887e-4,0.01052247270159483,0.5796079905726169,-4.8176889037135416e-4,0.05088559070891172,0.3969505275697174,-8.923387197069106e-4,0.027744169290218886,0.4738577388109336,-1.7658065668259577e-4,0.2823328122005484,0.14242106486547412,-3.4524862634051416e-4,0.2076683652525525,0.19020299571818183,-1.390111624579773e-4,0.7638979280697886,0.011930358801926826,-2.78404562121392e-4,0.01984152437594386,0.5127761387367591,-2.308637250506266e-4,0.17215406892770452,0.2193764052426947,-3.741919215048491e-4,0.19828513336332146,0.19741000671002334,-3.2869236188715756e-4,0.015374963072303984,0.5406990525105683,-3.4398594903645857e-4,0.2733981634438152,0.14739426061459596,1.0586276501131062e-4,0.7840940941657359,0.00993700272971044
baltimore,GFVN,SO4_S,21,-0.04416041533216865,9.440705939863294e-4,0.4456956185171015,-0.0406358823368572,0.022292591922561063,0.2457505914846936,-0.04202311975428024,0.19091142519852308,0.08826905443406738,-8.563985576558025e-5,0.05757766952123101,0.1769620226960155,-1.427308167996409e-4,0.04306551684782057,0.1983182630418809,-2.3130334135751515e-4,0.2064005303141891,0.08263411829039745,-8.183662935999335e-5,0.16925633717961697,0.09230470958300334,-1.525233474870044e-4,0.011205459311306391,0.2807377020972328,-6.28693002380156e-5,0.7616119645394884,0.004706785649445989,-2.039949067021752e-4,1.0647998795396069e-4,0.575186964026865,-2.0930592535856122e-4,3.5782247099688764e-5,0.6222575245945988,-1.7933121525948664e-4,0.0015194526064299988,0.4364798093902597,-1.1915007704621364e-4,0.005384904193227283,0.3572196381690088,-1.389868888872194e-4,0.005040904842388187,0.3615753358184895,-1.0121103200102218e-4,0.05814298102524361,0.18530016712965913
baltimore,GRGF,SO4_S,17,-0.05086697727879144,0.436960853959269,0.040787633567565824,-0.10117065867361077,0.11865821316013003,0.15443227373837262,-0.12799233348973266,0.45206680040121006,0.03822053313067723,-2.688915113355965e-4,0.2703784202720404,0.08597812474459811,-5.810961727221579e-4,0.08571987165572413,0.19623026378899192,-2.1375567784055294e-4,0.568222285640102,0.023816931465576233,-1.4877284645773903e-4,0.49784553095358497,0.031173565287207657,-2.4135457053158288e-4,0.3633978760290495,0.05534028519129438,-5.9644620577073e-5,0.8528107158309512,0.0023697391242592128,-1.899957325663165e-4,0.49971921182598067,0.030906912142680276,-1.4000824366525928e-4,0.6530577764900574,0.013830293772536948,-4.446219843155632e-4,0.4974688810806017,0.031227364389014987,-1.3086928344854627e-4,0.6449727064194644,0.015591398806653644,-1.7466953512268186e-4,0.6537735766129712,0.014780710793340686,-2.072682417985641e-4,0.6860399005182528,0.012022568177857022
baltimore,HH,SO4_S,10,0.3148381734210611,0.003284615264369689,0.6810480041545457,0.2346662943462893,0.007375276699326404,0.6133478019331808,0.3079027427719824,0.09534707003077217,0.30880335392383174,9.637176823193008e-4,0.0059875766589407116,0.6835416316993115,8.257119662205799e-4,0.017099637734109177,0.5800163024946717,0.0010094962221542207,0.05792258412094032,0.42287926992492464,7.312045866639203e-4,0.083072253810828,0.32884075759819537,5.506686770439901e-4,0.1463227560678875,0.2444485946979689,7.767254870706095e-4,0.2776961384123016,0.14498043523595716,6.828765585640807e-4,0.015324344800148817,0.592117462106166,6.937725633271754e-4,0.008680024766444208,0.6499496981777099,4.901882211790394e-4,0.07275472175869925,0.3888290381325316,4.305708857756041e-4,0.13276937840701364,0.33500963876145345,4.94773561570985e-4,0.03908574734711544,0.5353977372215043,3.517683509514802e-4,0.5455476153346364,0.06398790572564282
baltimore,MAWI,SO4_S,10,-0.17615413660662813,0.0015048439918003405,0.735671411078184,-0.08731729498214832,0.27887499902515756,0.1443253764295008,-0.22304805672358968,0.019814402074562476,0.5129297505571715,-6.625370168851555e-4,0.023629773549940742,0.49280886247160144,-8.481305516111915e-4,0.06867619657012028,0.3558911153041331,-6.796578419639976e-4,0.060114369256225694,0.37436715141978494,-3.365434087452504e-4,0.043937347312048534,0.4163316543517943,-2.0808441558461957e-4,0.5778844116283278,0.04035223603439375,-6.491603157785416e-4,0.057523041104348714,0.38039702360440714,-3.806718344969377e-4,0.028155037626299288,0.47209288442725983,1.8882253173003544e-4,0.5082961495197783,0.05653530666923626,-5.149083968973588e-4,0.013677749363594963,0.5530287235851025,-4.621064636372675e-4,0.051576316398208394,0.3951464569819056,-3.929666674290905e-5,0.915755112690135,0.0014875887818983065,-7.099539492000326e-4,0.0019281172402335948,0.7193723341650632
